***************************************-------------------第0个中心-------------------
center: 武将 [name=孟达, render=★★★★, tongshai=75, wuli=73, zhili=74, polic=66, qiangbin=通, jibin=通, nubin=精, qibin=疏, binqi=精, tongwu=148, tongzhi=149, tongwuzhi=222, tongwuzhizheng=288, salary=15840]
general:武将 [name=张南, render=★★★, tongshai=57, wuli=71, zhili=46, polic=34, qiangbin=疏, jibin=疏, nubin=疏, qibin=精, binqi=疏, tongwu=128, tongzhi=103, tongwuzhi=174, tongwuzhizheng=208, salary=11440]
general:武将 [name=陈兰, render=★, tongshai=66, wuli=69, zhili=40, polic=24, qiangbin=通, jibin=精, nubin=疏, qibin=疏, binqi=通, tongwu=135, tongzhi=106, tongwuzhi=175, tongwuzhizheng=199, salary=10945]
general:武将 [name=孙歆, render=★★★, tongshai=66, wuli=69, zhili=35, polic=38, qiangbin=通, jibin=疏, nubin=通, qibin=疏, binqi=疏, tongwu=135, tongzhi=101, tongwuzhi=170, tongwuzhizheng=208, salary=11440]
general:武将 [name=桥蕤, render=★, tongshai=64, wuli=69, zhili=38, polic=41, qiangbin=精, jibin=疏, nubin=通, qibin=疏, binqi=疏, tongwu=133, tongzhi=102, tongwuzhi=171, tongwuzhizheng=212, salary=11660]
general:武将 [name=李堪, render=★★, tongshai=58, wuli=69, zhili=33, polic=37, qiangbin=疏, jibin=通, nubin=疏, qibin=精, binqi=疏, tongwu=127, tongzhi=91, tongwuzhi=160, tongwuzhizheng=197, salary=10835]
general:武将 [name=全祎, render=★, tongshai=61, wuli=68, zhili=44, polic=32, qiangbin=通, jibin=疏, nubin=通, qibin=疏, binqi=疏, tongwu=129, tongzhi=105, tongwuzhi=173, tongwuzhizheng=205, salary=11275]
general:武将 [name=眭元进, render=★★, tongshai=52, wuli=68, zhili=45, polic=32, qiangbin=疏, jibin=通, nubin=通, qibin=疏, binqi=通, tongwu=120, tongzhi=97, tongwuzhi=165, tongwuzhizheng=197, salary=10835]
general:武将 [name=郝萌, render=★★★, tongshai=62, wuli=67, zhili=42, polic=34, qiangbin=疏, jibin=通, nubin=疏, qibin=精, binqi=疏, tongwu=129, tongzhi=104, tongwuzhi=171, tongwuzhizheng=205, salary=11275]
general:武将 [name=刘贤, render=★, tongshai=54, wuli=66, zhili=51, polic=40, qiangbin=通, jibin=通, nubin=疏, qibin=通, binqi=疏, tongwu=120, tongzhi=105, tongwuzhi=171, tongwuzhizheng=211, salary=11605]
general:武将 [name=陈纪, render=★★★, tongshai=58, wuli=65, zhili=43, polic=48, qiangbin=疏, jibin=精, nubin=通, qibin=疏, binqi=疏, tongwu=123, tongzhi=101, tongwuzhi=166, tongwuzhizheng=214, salary=11770]
general:武将 [name=刘岱, render=★, tongshai=53, wuli=65, zhili=32, polic=54, qiangbin=通, jibin=通, nubin=疏, qibin=通, binqi=疏, tongwu=118, tongzhi=85, tongwuzhi=150, tongwuzhizheng=204, salary=11220]
general:武将 [name=全端, render=★★★, tongshai=67, wuli=64, zhili=39, polic=37, qiangbin=通, jibin=通, nubin=疏, qibin=疏, binqi=疏, tongwu=131, tongzhi=106, tongwuzhi=170, tongwuzhizheng=207, salary=11385]
general:武将 [name=王门, render=★, tongshai=65, wuli=64, zhili=31, polic=41, qiangbin=疏, jibin=疏, nubin=疏, qibin=精, binqi=疏, tongwu=129, tongzhi=96, tongwuzhi=160, tongwuzhizheng=201, salary=11055]
general:武将 [name=全怿, render=★★★, tongshai=60, wuli=63, zhili=38, polic=43, qiangbin=疏, jibin=通, nubin=通, qibin=疏, binqi=疏, tongwu=123, tongzhi=98, tongwuzhi=161, tongwuzhizheng=204, salary=11220]
general:武将 [name=高定, render=★, tongshai=55, wuli=63, zhili=43, polic=42, qiangbin=通, jibin=通, nubin=疏, qibin=疏, binqi=通, tongwu=118, tongzhi=98, tongwuzhi=161, tongwuzhizheng=203, salary=11165]
general:武将 [name=申耽, render=★★★, tongshai=56, wuli=62, zhili=52, polic=41, qiangbin=通, jibin=疏, nubin=通, qibin=疏, binqi=疏, tongwu=118, tongzhi=108, tongwuzhi=170, tongwuzhizheng=211, salary=11605]
general:武将 [name=杨锋, render=★, tongshai=54, wuli=62, zhili=52, polic=40, qiangbin=疏, jibin=通, nubin=疏, qibin=疏, binqi=通, tongwu=116, tongzhi=106, tongwuzhi=168, tongwuzhizheng=208, salary=11440]
general:武将 [name=関彝, render=★, tongshai=50, wuli=62, zhili=44, polic=52, qiangbin=疏, jibin=通, nubin=通, qibin=疏, binqi=疏, tongwu=112, tongzhi=94, tongwuzhi=156, tongwuzhizheng=208, salary=11440]
general:武将 [name=樊能, render=★, tongshai=69, wuli=61, zhili=36, polic=31, qiangbin=疏, jibin=通, nubin=通, qibin=疏, binqi=疏, tongwu=130, tongzhi=105, tongwuzhi=166, tongwuzhizheng=197, salary=10835]
general:武将 [name=韩莒子, render=★★★, tongshai=51, wuli=59, zhili=51, polic=46, qiangbin=疏, jibin=疏, nubin=通, qibin=通, binqi=疏, tongwu=110, tongzhi=102, tongwuzhi=161, tongwuzhizheng=207, salary=11385]
general:武将 [name=苏由, render=★★, tongshai=50, wuli=59, zhili=49, polic=41, qiangbin=疏, jibin=通, nubin=通, qibin=疏, binqi=疏, tongwu=109, tongzhi=99, tongwuzhi=158, tongwuzhizheng=199, salary=10945]
general:武将 [name=带来洞主, render=★★, tongshai=51, wuli=53, zhili=53, polic=43, qiangbin=疏, jibin=通, nubin=通, qibin=疏, binqi=疏, tongwu=104, tongzhi=104, tongwuzhi=157, tongwuzhizheng=200, salary=11000]
general:武将 [name=丘建, render=★★★, tongshai=39, wuli=52, zhili=65, polic=52, qiangbin=通, jibin=通, nubin=疏, qibin=疏, binqi=通, tongwu=91, tongzhi=104, tongwuzhi=156, tongwuzhizheng=208, salary=11440]
general:武将 [name=刘循, render=★, tongshai=63, wuli=46, zhili=41, polic=50, qiangbin=疏, jibin=通, nubin=通, qibin=疏, binqi=疏, tongwu=109, tongzhi=104, tongwuzhi=150, tongwuzhizheng=200, salary=11000]
general:武将 [name=孙匡, render=★★★, tongshai=52, wuli=46, zhili=44, polic=65, qiangbin=通, jibin=通, nubin=通, qibin=疏, binqi=疏, tongwu=98, tongzhi=96, tongwuzhi=142, tongwuzhizheng=207, salary=11385]
general:武将 [name=丘本, render=★★, tongshai=50, wuli=41, zhili=67, polic=56, qiangbin=疏, jibin=疏, nubin=通, qibin=疏, binqi=通, tongwu=91, tongzhi=117, tongwuzhi=158, tongwuzhizheng=214, salary=11770]
general:武将 [name=孙和, render=★★★, tongshai=31, wuli=39, zhili=68, polic=71, qiangbin=疏, jibin=疏, nubin=精, qibin=通, binqi=疏, tongwu=70, tongzhi=99, tongwuzhi=138, tongwuzhizheng=209, salary=11495]
general:武将 [name=吴纲, render=★★★, tongshai=48, wuli=38, zhili=65, polic=65, qiangbin=疏, jibin=通, nubin=疏, qibin=疏, binqi=疏, tongwu=86, tongzhi=113, tongwuzhi=151, tongwuzhizheng=216, salary=11880]
general:武将 [name=李孚, render=★, tongshai=31, wuli=36, zhili=74, polic=73, qiangbin=疏, jibin=疏, nubin=通, qibin=疏, binqi=通, tongwu=67, tongzhi=105, tongwuzhi=141, tongwuzhizheng=214, salary=11770]
general:武将 [name=李豊, render=★★, tongshai=25, wuli=35, zhili=67, polic=71, qiangbin=疏, jibin=疏, nubin=疏, qibin=疏, binqi=通, tongwu=60, tongzhi=92, tongwuzhi=127, tongwuzhizheng=198, salary=10890]
general:武将 [name=华歆, render=★★★★, tongshai=18, wuli=33, zhili=82, polic=83, qiangbin=疏, jibin=疏, nubin=疏, qibin=疏, binqi=疏, tongwu=51, tongzhi=100, tongwuzhi=133, tongwuzhizheng=216, salary=11880]
general:武将 [name=濮阳兴, render=★, tongshai=37, wuli=32, zhili=70, polic=72, qiangbin=疏, jibin=疏, nubin=疏, qibin=疏, binqi=通, tongwu=69, tongzhi=107, tongwuzhi=139, tongwuzhizheng=211, salary=11605]
general:武将 [name=简雍, render=★★, tongshai=20, wuli=32, zhili=74, polic=71, qiangbin=疏, jibin=疏, nubin=疏, qibin=疏, binqi=通, tongwu=52, tongzhi=94, tongwuzhi=126, tongwuzhizheng=197, salary=10835]
general:武将 [name=王累, render=★★★, tongshai=28, wuli=30, zhili=78, polic=80, qiangbin=疏, jibin=疏, nubin=疏, qibin=疏, binqi=疏, tongwu=58, tongzhi=106, tongwuzhi=136, tongwuzhizheng=216, salary=11880]
general:武将 [name=张缉, render=★, tongshai=31, wuli=29, zhili=70, polic=74, qiangbin=疏, jibin=疏, nubin=通, qibin=疏, binqi=疏, tongwu=60, tongzhi=101, tongwuzhi=130, tongwuzhizheng=204, salary=11220]
general:武将 [name=陶谦, render=★★, tongshai=51, wuli=27, zhili=63, polic=63, qiangbin=疏, jibin=通, nubin=通, qibin=疏, binqi=疏, tongwu=78, tongzhi=114, tongwuzhi=141, tongwuzhizheng=204, salary=11220]
general:武将 [name=阎圃, render=★★★, tongshai=29, wuli=25, zhili=82, polic=79, qiangbin=疏, jibin=疏, nubin=疏, qibin=疏, binqi=通, tongwu=54, tongzhi=111, tongwuzhi=136, tongwuzhizheng=215, salary=11825]
general:武将 [name=董昭, render=★★★, tongshai=19, wuli=25, zhili=80, polic=82, qiangbin=疏, jibin=疏, nubin=疏, qibin=疏, binqi=通, tongwu=44, tongzhi=99, tongwuzhi=124, tongwuzhizheng=206, salary=11330]
general:武将 [name=荀諶, render=★★, tongshai=19, wuli=25, zhili=77, polic=78, qiangbin=疏, jibin=疏, nubin=疏, qibin=疏, binqi=疏, tongwu=44, tongzhi=96, tongwuzhi=121, tongwuzhizheng=199, salary=10945]
general:武将 [name=樊建, render=★★★, tongshai=41, wuli=24, zhili=71, polic=77, qiangbin=疏, jibin=疏, nubin=通, qibin=疏, binqi=通, tongwu=65, tongzhi=112, tongwuzhi=136, tongwuzhizheng=213, salary=11715]
general:武将 [name=卞氏, render=★★★, tongshai=36, wuli=24, zhili=74, polic=76, qiangbin=疏, jibin=疏, nubin=疏, qibin=通, binqi=疏, tongwu=60, tongzhi=110, tongwuzhi=134, tongwuzhizheng=210, salary=11550]
general:武将 [name=顾谭, render=★, tongshai=33, wuli=23, zhili=70, polic=79, qiangbin=疏, jibin=疏, nubin=疏, qibin=疏, binqi=疏, tongwu=56, tongzhi=103, tongwuzhi=126, tongwuzhizheng=205, salary=11275]
general:武将 [name=王肃, render=★★★, tongshai=36, wuli=22, zhili=75, polic=78, qiangbin=疏, jibin=疏, nubin=疏, qibin=疏, binqi=疏, tongwu=58, tongzhi=111, tongwuzhi=133, tongwuzhizheng=211, salary=11605]
general:武将 [name=崔林, render=★★, tongshai=32, wuli=22, zhili=66, polic=78, qiangbin=疏, jibin=疏, nubin=通, qibin=疏, binqi=疏, tongwu=54, tongzhi=98, tongwuzhi=120, tongwuzhizheng=198, salary=10890]
general:武将 [name=曹沖, render=★★★★, tongshai=31, wuli=21, zhili=85, polic=79, qiangbin=疏, jibin=疏, nubin=疏, qibin=疏, binqi=精, tongwu=52, tongzhi=116, tongwuzhi=137, tongwuzhizheng=216, salary=11880]
general:武将 [name=逢纪, render=★★★★, tongshai=27, wuli=21, zhili=84, polic=70, qiangbin=疏, jibin=疏, nubin=疏, qibin=疏, binqi=疏, tongwu=48, tongzhi=111, tongwuzhi=132, tongwuzhizheng=202, salary=11110]
general:武将 [name=薛莹, render=★, tongshai=49, wuli=18, zhili=64, polic=74, qiangbin=疏, jibin=疏, nubin=通, qibin=疏, binqi=通, tongwu=67, tongzhi=113, tongwuzhi=131, tongwuzhizheng=205, salary=11275]
general:武将 [name=袁涣, render=★, tongshai=30, wuli=17, zhili=72, polic=83, qiangbin=疏, jibin=通, nubin=疏, qibin=通, binqi=疏, tongwu=47, tongzhi=102, tongwuzhi=119, tongwuzhizheng=202, salary=11110]
general:武将 [name=徐氏, render=★★★, tongshai=41, wuli=16, zhili=80, polic=70, qiangbin=疏, jibin=通, nubin=通, qibin=疏, binqi=疏, tongwu=57, tongzhi=121, tongwuzhi=137, tongwuzhizheng=207, salary=11385]
general:武将 [name=薛综, render=★★, tongshai=34, wuli=16, zhili=72, polic=80, qiangbin=疏, jibin=疏, nubin=疏, qibin=疏, binqi=通, tongwu=50, tongzhi=106, tongwuzhi=122, tongwuzhizheng=202, salary=11110]
general:武将 [name=陈羣, render=★★★★★, tongshai=32, wuli=14, zhili=74, polic=96, qiangbin=疏, jibin=疏, nubin=疏, qibin=疏, binqi=疏, tongwu=46, tongzhi=106, tongwuzhi=120, tongwuzhizheng=216, salary=11880]
general:武将 [name=刘琦, render=★★, tongshai=52, wuli=12, zhili=62, polic=71, qiangbin=疏, jibin=疏, nubin=通, qibin=疏, binqi=疏, tongwu=64, tongzhi=114, tongwuzhi=126, tongwuzhizheng=197, salary=10835]
general:武将 [name=司马徽, render=★★★★★, tongshai=21, wuli=8, zhili=92, polic=94, qiangbin=疏, jibin=疏, nubin=疏, qibin=疏, binqi=疏, tongwu=29, tongzhi=113, tongwuzhi=121, tongwuzhizheng=215, salary=11825]
-------------------第2个中心-------------------
center: 武将 [name=陈武, render=★★★★, tongshai=74, wuli=87, zhili=43, polic=40, qiangbin=精, jibin=神, nubin=疏, qibin=疏, binqi=疏, tongwu=161, tongzhi=117, tongwuzhi=204, tongwuzhizheng=244, salary=13420]
此类中包含对象的个数为：24
general:武将 [name=颜良, render=★★★★★, tongshai=79, wuli=93, zhili=42, polic=32, qiangbin=精, jibin=精, nubin=疏, qibin=神, binqi=疏, tongwu=172, tongzhi=121, tongwuzhi=214, tongwuzhizheng=246, salary=13530]
general:武将 [name=孙观, render=★★★★, tongshai=72, wuli=78, zhili=51, polic=39, qiangbin=通, jibin=疏, nubin=疏, qibin=精, binqi=通, tongwu=150, tongzhi=123, tongwuzhi=201, tongwuzhizheng=240, salary=13200]
general:武将 [name=杨任, render=★★★★, tongshai=70, wuli=78, zhili=53, polic=40, qiangbin=疏, jibin=精, nubin=通, qibin=通, binqi=疏, tongwu=148, tongzhi=123, tongwuzhi=201, tongwuzhizheng=241, salary=13255]
general:武将 [name=马忠, render=★★★★, tongshai=67, wuli=77, zhili=64, polic=36, qiangbin=疏, jibin=精, nubin=通, qibin=疏, binqi=疏, tongwu=144, tongzhi=131, tongwuzhi=208, tongwuzhizheng=244, salary=13420]
general:武将 [name=曹纯, render=★★★★, tongshai=75, wuli=71, zhili=60, polic=35, qiangbin=通, jibin=疏, nubin=疏, qibin=神, binqi=疏, tongwu=146, tongzhi=135, tongwuzhi=206, tongwuzhizheng=241, salary=13255]
general:武将 [name=赵广, render=★★★★, tongshai=67, wuli=71, zhili=53, polic=53, qiangbin=疏, jibin=通, nubin=通, qibin=精, binqi=通, tongwu=138, tongzhi=120, tongwuzhi=191, tongwuzhizheng=244, salary=13420]
general:武将 [name=王威, render=★★★★, tongshai=60, wuli=70, zhili=59, polic=52, qiangbin=通, jibin=疏, nubin=通, qibin=疏, binqi=疏, tongwu=130, tongzhi=119, tongwuzhi=189, tongwuzhizheng=241, salary=13255]
general:武将 [name=朱异, render=★★★★, tongshai=70, wuli=68, zhili=60, polic=45, qiangbin=通, jibin=精, nubin=通, qibin=疏, binqi=疏, tongwu=138, tongzhi=130, tongwuzhi=198, tongwuzhizheng=243, salary=13365]
general:武将 [name=盛曼, render=★★★★, tongshai=61, wuli=68, zhili=66, polic=50, qiangbin=疏, jibin=通, nubin=精, qibin=疏, binqi=通, tongwu=129, tongzhi=127, tongwuzhi=195, tongwuzhizheng=245, salary=13475]
general:武将 [name=刘繇, render=★, tongshai=62, wuli=67, zhili=46, polic=70, qiangbin=通, jibin=疏, nubin=疏, qibin=通, binqi=疏, tongwu=129, tongzhi=108, tongwuzhi=175, tongwuzhizheng=245, salary=13475]
general:武将 [name=留略, render=★★★★, tongshai=71, wuli=66, zhili=59, polic=46, qiangbin=疏, jibin=精, nubin=精, qibin=疏, binqi=疏, tongwu=137, tongzhi=130, tongwuzhi=196, tongwuzhizheng=242, salary=13310]
general:武将 [name=张済, render=★★★★, tongshai=70, wuli=66, zhili=52, polic=53, qiangbin=疏, jibin=疏, nubin=疏, qibin=精, binqi=疏, tongwu=136, tongzhi=122, tongwuzhi=188, tongwuzhizheng=241, salary=13255]
general:武将 [name=马铁, render=★★★★, tongshai=70, wuli=62, zhili=56, polic=52, qiangbin=疏, jibin=疏, nubin=通, qibin=神, binqi=通, tongwu=132, tongzhi=126, tongwuzhi=188, tongwuzhizheng=240, salary=13200]
general:武将 [name=朵思大王, render=★★★★, tongshai=62, wuli=59, zhili=70, polic=54, qiangbin=疏, jibin=通, nubin=精, qibin=疏, binqi=疏, tongwu=121, tongzhi=132, tongwuzhi=191, tongwuzhizheng=245, salary=13475]
general:武将 [name=袁煕, render=★, tongshai=66, wuli=51, zhili=63, polic=65, qiangbin=疏, jibin=疏, nubin=通, qibin=疏, binqi=通, tongwu=117, tongzhi=129, tongwuzhi=180, tongwuzhizheng=245, salary=13475]
general:武将 [name=夏侯和, render=★★★★, tongshai=48, wuli=51, zhili=70, polic=76, qiangbin=疏, jibin=疏, nubin=疏, qibin=通, binqi=通, tongwu=99, tongzhi=118, tongwuzhi=169, tongwuzhizheng=245, salary=13475]
general:武将 [name=李豊, render=★★★★, tongshai=55, wuli=48, zhili=67, polic=72, qiangbin=疏, jibin=通, nubin=精, qibin=疏, binqi=通, tongwu=103, tongzhi=122, tongwuzhi=170, tongwuzhizheng=242, salary=13310]
general:武将 [name=夏侯恵, render=★★★★, tongshai=50, wuli=44, zhili=75, polic=73, qiangbin=疏, jibin=疏, nubin=通, qibin=通, binqi=疏, tongwu=94, tongzhi=125, tongwuzhi=169, tongwuzhizheng=242, salary=13310]
general:武将 [name=袁遗, render=★, tongshai=56, wuli=40, zhili=73, polic=76, qiangbin=疏, jibin=通, nubin=通, qibin=疏, binqi=通, tongwu=96, tongzhi=129, tongwuzhi=169, tongwuzhizheng=245, salary=13475]
general:武将 [name=王朗, render=★★★★, tongshai=47, wuli=35, zhili=79, polic=81, qiangbin=疏, jibin=通, nubin=疏, qibin=疏, binqi=疏, tongwu=82, tongzhi=126, tongwuzhi=161, tongwuzhizheng=242, salary=13310]
general:武将 [name=傅嘏, render=★★★★, tongshai=44, wuli=35, zhili=81, polic=82, qiangbin=疏, jibin=疏, nubin=通, qibin=疏, binqi=通, tongwu=79, tongzhi=125, tongwuzhi=160, tongwuzhizheng=242, salary=13310]
general:武将 [name=董允, render=★★★★, tongshai=47, wuli=28, zhili=78, polic=91, qiangbin=疏, jibin=疏, nubin=通, qibin=疏, binqi=通, tongwu=75, tongzhi=125, tongwuzhi=153, tongwuzhizheng=244, salary=13420]
general:武将 [name=蒯越, render=★★★★, tongshai=47, wuli=27, zhili=82, polic=88, qiangbin=通, jibin=疏, nubin=通, qibin=疏, binqi=疏, tongwu=74, tongzhi=129, tongwuzhi=156, tongwuzhizheng=244, salary=13420]
general:武将 [name=马良, render=★★★★★, tongshai=46, wuli=23, zhili=85, polic=90, qiangbin=疏, jibin=疏, nubin=通, qibin=疏, binqi=通, tongwu=69, tongzhi=131, tongwuzhi=154, tongwuzhizheng=244, salary=13420]
-------------------第3个中心-------------------
center: 武将 [name=潘璋, render=★★★★, tongshai=76, wuli=80, zhili=70, polic=28, qiangbin=通, jibin=精, nubin=精, qibin=通, binqi=疏, tongwu=156, tongzhi=146, tongwuzhi=226, tongwuzhizheng=254, salary=13970]
此类中包含对象的个数为：83
general:武将 [name=华雄, render=★★★★★, tongshai=81, wuli=92, zhili=56, polic=40, qiangbin=通, jibin=通, nubin=疏, qibin=神, binqi=疏, tongwu=173, tongzhi=137, tongwuzhi=229, tongwuzhizheng=269, salary=14795]
general:武将 [name=文鸯, render=★★★★★, tongshai=76, wuli=91, zhili=60, polic=32, qiangbin=通, jibin=疏, nubin=精, qibin=神, binqi=疏, tongwu=167, tongzhi=136, tongwuzhi=227, tongwuzhizheng=259, salary=14245]
general:武将 [name=周泰, render=★★★★★, tongshai=76, wuli=91, zhili=48, polic=38, qiangbin=精, jibin=神, nubin=疏, qibin=精, binqi=疏, tongwu=167, tongzhi=124, tongwuzhi=215, tongwuzhizheng=253, salary=13915]
general:武将 [name=凌统, render=★★★★★, tongshai=77, wuli=89, zhili=55, polic=40, qiangbin=通, jibin=神, nubin=疏, qibin=精, binqi=疏, tongwu=166, tongzhi=132, tongwuzhi=221, tongwuzhizheng=261, salary=14355]
general:武将 [name=马雲录, render=★★★★★, tongshai=78, wuli=88, zhili=53, polic=46, qiangbin=精, jibin=疏, nubin=通, qibin=神, binqi=疏, tongwu=166, tongzhi=131, tongwuzhi=219, tongwuzhizheng=265, salary=14575]
general:武将 [name=関索, render=★★★★★, tongshai=74, wuli=88, zhili=52, polic=47, qiangbin=通, jibin=精, nubin=疏, qibin=神, binqi=疏, tongwu=162, tongzhi=126, tongwuzhi=214, tongwuzhizheng=261, salary=14355]
general:武将 [name=张苞, render=★★★★, tongshai=75, wuli=87, zhili=48, polic=46, qiangbin=神, jibin=精, nubin=通, qibin=精, binqi=疏, tongwu=162, tongzhi=123, tongwuzhi=210, tongwuzhizheng=256, salary=14080]
general:武将 [name=韩当, render=★★★★, tongshai=76, wuli=85, zhili=56, polic=51, qiangbin=精, jibin=通, nubin=通, qibin=精, binqi=疏, tongwu=161, tongzhi=132, tongwuzhi=217, tongwuzhizheng=268, salary=14740]
general:武将 [name=董袭, render=★★★★, tongshai=72, wuli=85, zhili=50, polic=48, qiangbin=精, jibin=精, nubin=通, qibin=疏, binqi=通, tongwu=157, tongzhi=122, tongwuzhi=207, tongwuzhizheng=255, salary=14025]
general:武将 [name=楽进, render=★★★★, tongshai=80, wuli=84, zhili=52, polic=51, qiangbin=神, jibin=通, nubin=通, qibin=精, binqi=神, tongwu=164, tongzhi=132, tongwuzhi=216, tongwuzhizheng=267, salary=14685]
general:武将 [name=蒋钦, render=★★★★, tongshai=78, wuli=84, zhili=51, polic=42, qiangbin=通, jibin=精, nubin=神, qibin=通, binqi=疏, tongwu=162, tongzhi=129, tongwuzhi=213, tongwuzhizheng=255, salary=14025]
general:武将 [name=纪霊, render=★★★★, tongshai=78, wuli=83, zhili=51, polic=48, qiangbin=精, jibin=精, nubin=疏, qibin=精, binqi=疏, tongwu=161, tongzhi=129, tongwuzhi=212, tongwuzhizheng=260, salary=14300]
general:武将 [name=冷苞, render=★★★★, tongshai=71, wuli=82, zhili=68, polic=37, qiangbin=疏, jibin=精, nubin=精, qibin=疏, binqi=通, tongwu=153, tongzhi=139, tongwuzhi=221, tongwuzhizheng=258, salary=14190]
general:武将 [name=张燕, render=★★★★, tongshai=82, wuli=81, zhili=53, polic=48, qiangbin=通, jibin=通, nubin=疏, qibin=神, binqi=精, tongwu=163, tongzhi=135, tongwuzhi=216, tongwuzhizheng=264, salary=14520]
general:武将 [name=郝昭, render=★★★★★, tongshai=89, wuli=79, zhili=78, polic=62, qiangbin=通, jibin=神, nubin=通, qibin=精, binqi=神, tongwu=185, tongzhi=132, tongwuzhi=229, tongwuzhizheng=255, salary=14025]
general:武将 [name=诸葛尚, render=★★★★, tongshai=64, wuli=77, zhili=62, polic=55, qiangbin=精, jibin=精, nubin=通, qibin=通, binqi=通, tongwu=141, tongzhi=126, tongwuzhi=203, tongwuzhizheng=258, salary=14190]
general:武将 [name=徐栄, render=★★★★, tongshai=80, wuli=76, zhili=57, polic=43, qiangbin=通, jibin=通, nubin=疏, qibin=神, binqi=疏, tongwu=156, tongzhi=137, tongwuzhi=213, tongwuzhizheng=256, salary=14080]
general:武将 [name=廖化, render=★★★★, tongshai=73, wuli=76, zhili=64, polic=49, qiangbin=精, jibin=精, nubin=疏, qibin=通, binqi=疏, tongwu=149, tongzhi=137, tongwuzhi=213, tongwuzhizheng=262, salary=14410]
general:武将 [name=雍闿, render=★★★★, tongshai=81, wuli=75, zhili=54, polic=56, qiangbin=精, jibin=精, nubin=疏, qibin=疏, binqi=神, tongwu=156, tongzhi=135, tongwuzhi=210, tongwuzhizheng=266, salary=14630]
general:武将 [name=侯成, render=★★★★, tongshai=74, wuli=75, zhili=63, polic=56, qiangbin=通, jibin=通, nubin=通, qibin=精, binqi=疏, tongwu=149, tongzhi=137, tongwuzhi=212, tongwuzhizheng=268, salary=14740]
general:武将 [name=曹休, render=★★★★, tongshai=74, wuli=75, zhili=58, polic=56, qiangbin=通, jibin=疏, nubin=神, qibin=精, binqi=疏, tongwu=149, tongzhi=132, tongwuzhi=207, tongwuzhizheng=263, salary=14465]
general:武将 [name=臧覇, render=★★★★, tongshai=74, wuli=75, zhili=52, polic=56, qiangbin=精, jibin=通, nubin=疏, qibin=精, binqi=疏, tongwu=149, tongzhi=126, tongwuzhi=201, tongwuzhizheng=257, salary=14135]
general:武将 [name=毌丘俭, render=★★★★, tongshai=78, wuli=74, zhili=52, polic=56, qiangbin=精, jibin=通, nubin=通, qibin=精, binqi=精, tongwu=152, tongzhi=130, tongwuzhi=204, tongwuzhizheng=260, salary=14300]
general:武将 [name=唐彬, render=★★★★, tongshai=67, wuli=74, zhili=59, polic=53, qiangbin=通, jibin=疏, nubin=通, qibin=通, binqi=精, tongwu=141, tongzhi=126, tongwuzhi=200, tongwuzhizheng=253, salary=13915]
general:武将 [name=张繍, render=★★★★, tongshai=80, wuli=73, zhili=60, polic=45, qiangbin=疏, jibin=疏, nubin=通, qibin=神, binqi=通, tongwu=153, tongzhi=140, tongwuzhi=213, tongwuzhizheng=258, salary=14190]
general:武将 [name=朱霊, render=★★★★, tongshai=71, wuli=73, zhili=67, polic=53, qiangbin=通, jibin=疏, nubin=疏, qibin=精, binqi=疏, tongwu=144, tongzhi=138, tongwuzhi=211, tongwuzhizheng=264, salary=14520]
general:武将 [name=刘璝, render=★★★★, tongshai=71, wuli=73, zhili=66, polic=44, qiangbin=疏, jibin=精, nubin=精, qibin=疏, binqi=通, tongwu=144, tongzhi=137, tongwuzhi=210, tongwuzhizheng=254, salary=13970]
general:武将 [name=陈到, render=★★★★, tongshai=76, wuli=71, zhili=63, polic=53, qiangbin=精, jibin=疏, nubin=通, qibin=精, binqi=通, tongwu=147, tongzhi=139, tongwuzhi=210, tongwuzhizheng=263, salary=14465]
general:武将 [name=陈骞, render=★★★★, tongshai=72, wuli=71, zhili=65, polic=57, qiangbin=精, jibin=疏, nubin=疏, qibin=通, binqi=精, tongwu=143, tongzhi=137, tongwuzhi=208, tongwuzhizheng=265, salary=14575]
general:武将 [name=留平, render=★★★★, tongshai=70, wuli=71, zhili=68, polic=57, qiangbin=通, jibin=通, nubin=疏, qibin=疏, binqi=精, tongwu=141, tongzhi=138, tongwuzhi=209, tongwuzhizheng=266, salary=14630]
general:武将 [name=祖茂, render=★★★★, tongshai=70, wuli=71, zhili=62, polic=53, qiangbin=疏, jibin=精, nubin=疏, qibin=通, binqi=疏, tongwu=141, tongzhi=132, tongwuzhi=203, tongwuzhizheng=256, salary=14080]
general:武将 [name=孙异, render=★, tongshai=69, wuli=71, zhili=55, polic=62, qiangbin=通, jibin=通, nubin=精, qibin=疏, binqi=通, tongwu=140, tongzhi=124, tongwuzhi=195, tongwuzhizheng=257, salary=14135]
general:武将 [name=公孙度, render=★★★★, tongshai=67, wuli=71, zhili=63, polic=51, qiangbin=通, jibin=疏, nubin=疏, qibin=精, binqi=精, tongwu=138, tongzhi=130, tongwuzhi=201, tongwuzhizheng=252, salary=13860]
general:武将 [name=张杨, render=★★★★, tongshai=72, wuli=70, zhili=62, polic=58, qiangbin=疏, jibin=疏, nubin=通, qibin=精, binqi=疏, tongwu=142, tongzhi=134, tongwuzhi=204, tongwuzhizheng=262, salary=14410]
